,N,chi,f_tree,f_std_tree,f_mps,f_std_mps,f_omps,f_std_omps,mem_tree,mem_std_tree,mem_mps,mem_std_mps,mem_omps,mem_std_omps
78,150,31,0.927485986699932,0.06758437972914143,0.9954679878448994,0.002258653932416311,0.9961846878732459,0.003219817534825139,1765.6,522.8099463476187,2664.0,0.0,2664.0,0.0
79,150,34,0.9999999999998869,2.7574875921367265e-14,0.9999999999881798,3.912944305460829e-11,0.9999999999999434,1.1126600649593762e-14,1785.6,549.6200869691718,2728.0,0.0,2728.0,0.0
80,150,37,0.9999999999998869,2.7574875921367265e-14,0.9999999999881798,3.912944305460829e-11,0.9999999999999434,1.1126600649593762e-14,1785.6,549.6200869691718,2728.0,0.0,2728.0,0.0
81,150,40,0.9999999999998869,2.7574875921367265e-14,0.9999999999881798,3.912944305460829e-11,0.9999999999999434,1.1126600649593762e-14,1785.6,549.6200869691718,2728.0,0.0,2728.0,0.0
82,150,43,0.9999999999998869,2.7574875921367265e-14,0.9999999999881798,3.912944305460829e-11,0.9999999999999434,1.1126600649593762e-14,1785.6,549.6200869691718,2728.0,0.0,2728.0,0.0
83,150,46,0.9999999999998869,2.7574875921367265e-14,0.9999999999881798,3.912944305460829e-11,0.9999999999999434,1.1126600649593762e-14,1785.6,549.6200869691718,2728.0,0.0,2728.0,0.0
84,150,49,0.9999999999998869,2.7574875921367265e-14,0.9999999999881798,3.912944305460829e-11,0.9999999999999434,1.1126600649593762e-14,1785.6,549.6200869691718,2728.0,0.0,2728.0,0.0
85,180,1,9.434057159334245e-06,7.820302203378883e-06,9.43405715933448e-06,7.820302203379044e-06,9.434057159334613e-06,7.820302203379156e-06,20.0,0.0,20.0,0.0,20.0,0.0
86,180,4,3.8361647175901066e-05,5.099404332898451e-05,2.8185990480096594e-05,2.4236565470323333e-05,5.053798134101565e-05,5.516339218793185e-05,291.6,91.12540809236467,220.8,17.35972350010218,227.2,10.322790320451151
87,180,7,0.00019802255101941847,0.0004162622846649355,0.00012107674534751506,9.42187846492196e-05,0.0001649905457283571,0.00017797131382259404,601.8,145.0832864254184,535.3,28.867109311463803,542.9,4.794788837894741
88,180,10,0.004355146986874655,0.016227001632575823,0.000304022097243025,0.00032519784846866924,0.000673363191527843,0.0004988997008131562,882.8,124.84294133029708,888.0,0.0,886.6,6.102458520956943
89,180,13,0.02422434964703527,0.07622580209121634,0.0015463723812227342,0.0013540091932422683,0.0018937360457024995,0.0014445627189474549,1133.0,78.25215651980461,1260.0,0.0,1260.0,0.0
90,180,16,0.21840939975484916,0.393910474154911,0.008224742543452429,0.004910704962501823,0.012295916094503399,0.008820641605468733,1408.4,148.28027515485667,1704.0,0.0,1704.0,0.0
91,180,19,0.24125643535160712,0.3874742210040529,0.02815268296091576,0.009083115091256496,0.04004548520999572,0.014557082229614344,1512.5,183.40106324664532,1896.0,0.0,1896.0,0.0
92,180,22,0.2887398650867475,0.37636193667488793,0.10997876640812823,0.017551670113432175,0.14603546407628284,0.0274012019686596,1618.4,267.09219382078544,2088.0,0.0,2088.0,0.0
93,180,25,0.38230625168139715,0.34666392782554073,0.38910884608942914,0.029092505784644604,0.44407388791973157,0.03169068835756401,1726.1,371.7017487179741,2280.0,0.0,2280.0,0.0
94,180,28,0.5782842119263284,0.2660800751161946,0.81673987102844,0.014629423714368366,0.8430490702602278,0.01479824040790347,1835.6,487.38633546705023,2472.0,0.0,2472.0,0.0
