,N,chi,f_tree,f_mps,f_omps,mem_tree,mem_mps,mem_omps
443,200,13,0.0011627971599158175,0.00015325855916702348,0.0012717636432382727,1168,1260,1260
444,200,14,0.0011332462420896628,0.0005432332101265071,0.000895224744233145,1248,1400,1400
445,200,15,0.003051870215780649,0.0010779375622016647,0.0017361776075912065,1328,1548,1548
446,200,16,0.014623675087962402,0.0017913033052626944,0.0034039335576834607,1408,1704,1704
447,200,17,0.022687195814059025,0.0024192573633680338,0.0041842053807231334,1408,1768,1768
448,200,18,0.028206615828759617,0.006583490003181648,0.014699058105813487,1408,1832,1832
449,200,19,0.0442050248846846,0.01013698975431134,0.02096795714857333,1408,1896,1896
450,230,5,1.952362302155092e-05,9.530880463137223e-06,4.071510475535589e-06,360,320,320
451,230,6,5.788292453245857e-06,9.050300265128247e-06,2.7853979618228976e-05,472,424,424
452,230,7,2.252566857661493e-05,2.5014287147888393e-06,1.858385381217705e-05,600,544,544
453,230,8,2.2780661998827835e-05,9.647925649175863e-05,4.79277260502589e-05,744,680,680
454,230,9,8.578825799512212e-05,2.16884291986162e-05,1.6972958873979806e-05,824,780,780
455,230,10,8.391789231394397e-05,7.074819402235425e-05,6.635229770130739e-05,904,888,888
456,230,11,0.00042846463162408337,7.117559653716805e-05,9.720830651454166e-05,984,1004,1004
457,230,12,0.0002602709840220516,0.0007278337304820764,0.00027545704532257794,1064,1128,1128
458,230,13,0.0009409182836487447,8.923338802698094e-05,0.0005613072199228215,1144,1260,1260
459,230,14,0.001552693772039314,0.0008947520439852371,0.002029498767783875,1224,1400,1400
460,230,15,0.00231239437128491,0.0010035958051129775,0.0017962048710892019,1304,1548,1548
461,230,16,0.004541685943262893,0.002157801542515628,0.0022651279176840373,1384,1704,1704
462,230,17,0.006798051306848342,0.002592886880295828,0.006009581026807185,1384,1768,1768
463,230,18,0.016122436702012976,0.004005262992447781,0.009226471568159662,1384,1832,1832
464,230,19,0.032052943826305726,0.009728045414812831,0.007807136521466065,1384,1896,1896
465,230,5,3.04048850911157e-06,2.8939902924595748e-06,1.5548448981366062e-06,306,320,320
466,230,6,4.087949256841384e-06,8.836255312226662e-06,7.434943638974418e-06,396,424,424
467,230,7,1.4797624858888974e-05,3.379708525309537e-06,3.212098188363375e-06,498,544,544
468,230,8,1.530940244845306e-05,8.888713323867219e-06,1.7163595723350994e-05,612,680,680
469,230,9,3.946927863802926e-06,4.387455772987063e-05,3.395543541557548e-05,712,780,780
470,230,10,6.86198793950627e-05,2.526332986001818e-05,0.00013308939419352353,820,888,888
471,230,11,4.4979469192549515e-05,5.5784220956719054e-05,0.00035801567658059943,936,1004,1004
472,230,12,9.518317258205684e-05,0.00013067112297756588,0.0002003112475366584,1060,1128,1128
473,230,13,0.0001686852026868789,7.83438977668728e-05,0.00038508983801994806,1192,1260,1260
474,230,14,0.00014397353711841633,0.00043184265736933333,0.0013163964603840675,1332,1400,1400
